Fond,ISIN,Fond Bolag,Region,Kategori,ID
Amundi Fds WellsFargo US Eq MdCp A$ C,LU0568602667,Amundi,,,301426
Arden xFund,SE0004550200,AIFM Capital AB,,,346836
Atlant Edge,SE0001007527,Atlant,,,1100
Atlant Future A,SE0016076327,Atlant,,,1280199
Atlant Green Tech Metals,SE0008015077,Atlant,,,666676
Atlant Högräntefond,SE0014262788,Atlant,,,1214801
Atlant Multi-Strategy,SE0007870993,Atlant,,,627796
Atlant Opportunity,SE0007871488,Atlant,,,625255
Atlant Protect A,SE0007871694,Atlant,,,625256
Atlant Sharp,SE0002090621,Atlant,,,86249
Atlant Stability,SE0002623553,Atlant,,,145768
AuAg Precious Green A,SE0014808440,FoF AuAg Asset Management,,,1130441
AuAg Silver Bullet A,SE0013358181,FoF AuAg Asset Management,,,1015114
Augmented Reality Fund A,SE0011527829,AIFM Capital AB,,,953014
Avanza 100,SE0004841526,Avanza,,,377805
Avanza 50,SE0004841567,Avanza,,,377807
Avanza 75,SE0004841534,Avanza,,,377804
Avanza Auto 1,SE0009779655,Avanza,,,788395
Avanza Auto 2,SE0009779663,Avanza,,,788396
Avanza Auto 3,SE0009779671,Avanza,,,788397
Avanza Auto 4,SE0009779689,Avanza,,,788398
Avanza Auto 5,SE0009779697,Avanza,,,788393
Avanza Auto 6,SE0009779705,Avanza,,,788394
Avanza Emerging Markets,SE0012454338,Avanza,,,944976
Avanza Europa,SE0013718699,Avanza,,,1041067
Avanza Fastighet by Norhammar,SE0017084296,Avanza,,,1342559
Avanza Global,SE0011527613,Avanza,,,878733
Avanza Småbolag by Skoglund,SE0015194618,Avanza,,,1162060
Avanza Sverige,SE0014956850,Avanza,,,1270939
Avanza USA,SE0012741163,Avanza,,,1025150
Avanza World Tech by TIN,SE0014453221,Avanza,,,1102641
Avanza Zero,SE0001718388,Avanza,,,41567
Barings ASEAN Frontiers A USD Inc,IE0000830236,Baring,,,32
Barings Asia Growth ClassA USD Inc,IE0000830129,Baring,,,142
Barings Europa A USD Inc,IE0000829121,Baring,,,596
Barings Global Emerging Mkts A Inc,IE0000838304,Baring,,,2138
Barings Global Leaders A USD Inc,IE0030016244,Baring,,,2376
Barings Hong Kong China A USD Inc,IE0000829238,Baring,,,68
BGF Asia Pacific Equity Inc A2 USD,LU0414403419,BlackRock,,,316502
BGF Asian Dragon A2,LU0072462343,BlackRock,,,58
BGF Asian Growth Leaders A2 USD,LU0821914370,BlackRock,,,436405
BGF China A2,LU0359201612,BlackRock,,,186308
BGF Circular Economy A2,LU2041044095,BlackRock,,,1023645
BGF Emerging Markets A2,LU0047713382,BlackRock,,,2145
BGF Emerging Markets Bond A2,LU0200683885,BlackRock,,,15214
BGF Emerging Markets Eq Inc A2,LU0651946864,BlackRock,,,316497
BGF Euro Corporate Bond A2,LU0162658883,BlackRock,,,15213
BGF Euro-Markets A2,LU0093502762,BlackRock,,,734
BGF European A2,LU0011846440,BlackRock,,,717
BGF European Equity Income A2,LU0562822386,BlackRock,,,316923
BGF European Special Situations A2,LU0154234636,BlackRock,,,708
BGF FinTech A2,LU1861217088,BlackRock,,,927736
BGF Future of Transport A2,LU1861214812,BlackRock,,,927737
BGF Global Allocation A2,LU0072462426,BlackRock,,,2439
BGF Global Dynamic Equity A2,LU0238689110,BlackRock,,,1183854
BGF Global Equity Income A2,LU0545039389,BlackRock,,,316508
BGF Global High Yield Bond A2 SEK Hedged,LU0797429023,BlackRock,,,374277
BGF Global Long-Horizon Equity A2,LU0011850046,BlackRock,,,2284
BGF India A2,LU0248272758,BlackRock,,,56067
BGF Japan Small & MidCap Opps A2,LU0006061252,BlackRock,,,1339
BGF Latin American A2,LU0072463663,BlackRock,,,1376
BGF Multi-Theme Equity A2 Acc,LU2123743341,BlackRock,,,1165640
BGF Natural Resources Gr & Inc A2 USD,LU0612318385,BlackRock,,,316507
BGF Next Generation Technology A2,LU1861215975,BlackRock,,,929225
BGF Sustainable Energy A2,LU0124384867,BlackRock,,,547
BGF Systematic Glb SmallCap A2,LU0054578231,BlackRock,,,2362
BGF US Basic Value A2,LU0072461881,BlackRock,,,1546
BGF US Flexible Equity A2,LU0154236417,BlackRock,,,1573
BGF US Small & MidCap Opps A2,LU0006061336,BlackRock,,,1604
BGF World Energy A2,LU0122376428,BlackRock,,,540
BGF World Financials A2,LU0106831901,BlackRock,,,541
BGF World Gold A2,LU0055631609,BlackRock,,,492
BGF World Healthscience A2,LU0122379950,BlackRock,,,475
BGF World Mining A2,LU0075056555,BlackRock,,,2821
BGF World Technology A2,LU0056508442,BlackRock,,,431
BMO Diversified Growth A Acc SEK Hdg,LU1395056200,BMO,,,713373
BMO European Real Estate Scs A Acc EUR,IE00B5N9RL80,BMO,,,713374
BMO Global Smaller Coms Eq A Acc USD,LU0947182795,BMO,,,713377
BMO LGM Glbl EmMkts Gr and Inc W USD Acc,IE00BZCTLS48,BMO,,,716154
BMO LGM Responsible Asian Eq W USD Acc,IE00BYNZSR26,BMO,,,745573
BMO LGM Rspnb Chn A-Shrs Eq W USD Acc,IE00BLP4JR31,BMO,,,1131556
BMO Responsible Glb Em Mkts Eq A Inc USD,LU0153359632,BMO,,,2143
BMO Responsible Global Equity A Inc USD,LU0382360757,BMO,,,713375
BMO SDG Engagement Glbl Eq A USD Acc,LU1917706845,BMO,,,953456
BMO Sustainable Mul Ast Inc A Acc SEKH,LU2051394869,BMO,,,1131557
BMO Sustainable Opps Eurp Eq A Inc EUR,LU0153358667,BMO,,,715
BMO US Smaller Companies A Inc USD,LU0153358154,BMO,,,1602
BNP Paribas Aqua C C,LU1165135440,BNP Paribas,,,670776
BNP Paribas Brazil Equity C C,LU0265266980,BNP Paribas,,,281970
BNP Paribas China Eq Cl C,LU0823426308,BNP Paribas,,,415683
BNP Paribas Consumer Innovtr Cl C,LU0823411706,BNP Paribas,,,455060
BNP Paribas Energy Transition C C,LU0823414635,BNP Paribas,,,415797
BNP Paribas Env Abs Rtn Th Eq EAR Cl C,LU2066067385,BNP Paribas,,,1186857
BNP Paribas Europe Small Cap Cl C,LU0212178916,BNP Paribas,,,281283
BNP Paribas Fds Ecsystm Rstn Cl EUR Cap,LU2308191738,BNP Paribas,,,1243599
BNP Paribas Fds Sust Glb Eq Cl Cap,LU0956005226,BNP Paribas,,,1012654
BNP Paribas Germany Mlt-Fac Eq C C,LU0823427611,BNP Paribas,,,416245
BNP Paribas Global Envir Cl C,LU0347711466,BNP Paribas,,,315589
BNP Paribas India Eq Cl Cap,LU0823428932,BNP Paribas,,,415681
BNP Paribas Nordic Small Cap Cl C,LU0950372838,BNP Paribas,,,459897
BNP Paribas Smart Food Cl Cap,LU1165137149,BNP Paribas,,,679795
BNP Paribas Sst Asia ExJpn Eq C C,LU0823397103,BNP Paribas,,,416236
BNP Paribas Sst Glb Lw Vol Eq Cl Cap,LU0823417810,BNP Paribas,,,415680
BNP Paribas Sust Euro Corp Bd Cl C,LU0265288877,BNP Paribas,,,455102
BNP Paribas Turkey Equity Classic R,LU0265293521,BNP Paribas,,,68707
BNP Paribas US Growth Classic C,LU0823434583,BNP Paribas,,,415688
BNP Paribas US Small Cap Classic R,LU0823410997,BNP Paribas,,,415796
BNPP Sust US Value Mlt-Fac Eq Cl R,LU1458427785,BNP Paribas,,,789993
BSF Dynamic Diversified Growth A2 SEK H,LU0724654230,BlackRock,,,334675
BSF Emerging Markets Abs Ret A2 USD,LU0944773521,BlackRock,,,443897
BSF Fixed Income Strategies A2 EUR,LU0438336264,BlackRock,,,375837
BSF Global Absolute Return Bond A2 SEK H,LU0884611699,BlackRock,,,398162
C WorldWide Asia 1A,LU0835599696,C Worldwide,,,382860
C Worldwide Centuria Global Equities 1A,LU2276589087,C Worldwide,,,1232079
C WorldWide Emerging Markets 1A,LU0086737482,C Worldwide,,,16527
C WorldWide Global Equities 1A,LU0086737722,C Worldwide,,,2285
C WorldWide Global Equities Ethical 1A,LU0122292328,C Worldwide,,,122368
C WorldWide Healthcare Select 1A,LU0090908194,C Worldwide,,,445
C WorldWide India 1A,LU2068969570,C Worldwide,,,1154803
C WorldWide Nordic 1A,LU0086738027,C Worldwide,,,1643
C WorldWide Stable Equities 1A,LU0093943974,C Worldwide,,,620
C WorldWide Sweden 1A,LU0424681269,C Worldwide,,,207548
C Worldwide Sweden Small Cap 1A,LU0424682077,C Worldwide,,,221608
Caprifol Nordiska Fonden,SE0002834432,Caprifol,,,187208
Captor Aster Global Credit A,SE0015243878,Captor Fund Management AB,,,1214808
Captor Dahlia Green Bond A,SE0011337179,Captor Fund Management AB,,,1089363
Captor Iris Bond A,SE0012204758,Captor Fund Management AB,,,1089362
Captor Scilla Global Equity B,SE0010101360,Captor Fund Management AB,,,1141907
Captor Scilla Nordic Equity B,SE0010102277,Captor Fund Management AB,,,1141908
Carnegie All Cap A,SE0007704804,Carnegie Fonder,,,670777
Carnegie Asia A,SE0001172263,Carnegie Fonder,,,129
Carnegie Corporate Bond 3 SEK Cap,LU0075898915,Carnegie Fonder,,,2087
Carnegie Fastighetsfond Norden A,SE0004296515,Carnegie Fonder,,,324195
Carnegie Global Quality Companies A,SE0006993390,Carnegie Fonder,,,602915
Carnegie Indienfond A,SE0001209834,Carnegie Fonder,,,3101
Carnegie Investment Grade A,SE0000429847,Carnegie Fonder,,,2078
Carnegie Likviditetsfond A,SE0000429854,Carnegie Fonder,,,2032
Carnegie Listed Infrastructure A,SE0002768150,Carnegie Fonder,,,1263759
Carnegie Listed Private Equity A,SE0003039874,Carnegie Fonder,,,198508
Carnegie Multi A,SE0011843705,Carnegie Fonder,,,937474
Carnegie Obligationsfond A,SE0000709313,Carnegie Fonder,,,2098
Carnegie Småbolagsfond A,SE0004392025,Carnegie Fonder,,,334856
Carnegie Strategifond A,SE0000429813,Carnegie Fonder,,,229
Carnegie Strategy 3 SEK Cap,LU0075898758,Carnegie Fonder,,,230
Carnegie Sverigefond A,SE0000429789,Carnegie Fonder,,,1892
Carnegie Vega A,SE0001065285,Carnegie Fonder,,,1047
Case All Star,SE0010134288,Case,,,795773
Case Fair Play,SE0001338674,Case,,,202868
Case Safe Play A,SE0003723808,Case,,,269548
CB European Quality Fund A,LU0112589485,CB,,,633
CB Save Earth Fund RC,LU0354788688,CB,,,130487
Cicero Avkastningsfond A,SE0000891772,Cicero,,,2131
Cicero Hållbar Mix A,SE0004576437,Cicero,,,398157
Cicero Nordic Corporate Bond A,SE0005757275,Cicero,,,470457
Cicero Sverige A,SE0012853828,Cicero,,,1013074
Cicero World 0-50,SE0003655273,Cicero,,,330741
Cliens Företagsobligationer A,SE0010948422,Cliens,,,891013
Cliens Global Småbolag A,SE0016830749,Cliens,,,1295759
Cliens Micro Cap A,SE0014829545,Cliens,,,1140464
Cliens Mixfond B,SE0004841070,Cliens,,,377797
Cliens Räntefond Kort,SE0003910298,Cliens,,,283141
Cliens Småbolag A,SE0008992069,Cliens,,,694253
Cliens Sverige B,SE0004869626,Cliens,,,379956
Cliens Sverige Fokus A,SE0003910314,Cliens,,,283139
COELI - Global Sm Cp Sel R SEK,LU2395167690,Coeli,,,1373839
Coeli Absolute European Equity R SEK,LU1735828037,Coeli,,,880693
Coeli Frontier Markets R SEK,LU1028961909,Coeli,,,469956
Coeli Global Select R SEK,LU1133292463,Coeli,,,523895
Coeli Mix R SEK,LU1720217196,Coeli,,,827894
Coeli Nordisk Företagsobligation R SEK,LU1028962543,Coeli,,,490477
COELI SICAV I Frontier Mkt Fxd Inc R SEK,LU2273159629,Coeli,,,1219833
Consensus Global Select A,SE0011750926,FCG,,,1011194
Consensus Lighthouse Asset A,SE0008373955,FCG,,,1011195
Consensus Småbolag A,SE0008679971,FCG,,,1011196
Consensus Sverige Select A,SE0011750967,FCG,,,1011197
CPR Invest Global Gold Mines A USD Acc,LU1989766289,Amundi,,,1149494
CPR Invest Global Lifestyles A USD Acc,LU1989767923,Amundi,,,1150816
CPR Invest Global Resources A USD Acc,LU1989770125,Amundi,,,1149493
CS (Lux) Asia Corporate Bond B USD,LU0828907005,Credit Suisse,,,378638
CS (Lux) Asia Local Currency Bd B USD,LU0828911023,Credit Suisse,,,378651
CS (Lux) European Div Plus Eq B EUR,LU0439729368,Credit Suisse,,,262969
CS (Lux) European Entrepreneur Eq B,LU2066958385,Credit Suisse,,,1047827
CS (Lux) Global Bal Convert Bd B USD,LU0426279682,Credit Suisse,,,326928
CS (Lux) Global Div Plus Eq B USD,LU0439730457,Credit Suisse,,,414061
CS (Lux) Global Prpty Ttl Rt Eq BH EUR,LU1483617970,Credit Suisse,,,718413
CS (Lux) Global Value Equity B EUR,LU2066957221,Credit Suisse,,,1047829
CS (Lux) Global Value Equity BH USD,LU2066957148,Credit Suisse,,,1047828
CS (Lux) High Yield USD Bond B USD,LU1684797787,Credit Suisse,,,811073
CS (Lux) Japan Value Equity B JPY,LU0496466821,Credit Suisse,,,414068
CS (Lux) Security Equity B USD,LU0909471251,Credit Suisse,,,414056
CS (Lux) Small and Mid Cap Germany Eq B,LU2066958898,Credit Suisse,,,1047825
Danske Invest Aktiv Förmögenhetsförv SA,LU1349997640,Danske Invest,,,801495
Danske Invest China A,LU0178668348,Danske Invest,,,122
Danske Invest Emerging & Fron Mkts A SEK,LU1204910670,Danske Invest,,,596495
Danske Invest Eur Corp Sust Bond A SEK h,LU1399304879,Danske Invest,,,766773
Danske Invest Euro IG Corp Bd A SEKH,LU0178670161,Danske Invest,,,180708
Danske Invest Europe High Dividend A,LU0123484957,Danske Invest,,,2375
Danske Invest Europe Small Cap A,LU0123485178,Danske Invest,,,952
Danske Invest Global EM Small Cap A,LU0292126785,Danske Invest,,,86668
Danske Invest Global Emerging Market SEK,DK0061135910,Danske Invest,,,964491
Danske Invest Global Index Restricted SA,LU1349493418,Danske Invest,,,801497
Danske Invest Global Index SA,LU1349492527,Danske Invest,,,801496
Danske Invest Global Sust Future A,LU0117088970,Danske Invest,,,2370
Danske Invest Globala Realräntor SEK h,DK0060485605,Danske Invest,,,252929
Danske Invest GloblEmergingMarkts A,LU0085580271,Danske Invest,,,2178
Danske Invest Horisont Aktie SA,LU1349504479,Danske Invest,,,801503
Danske Invest Horisont Balanserad SA d,LU1349505955,Danske Invest,,,801505
Danske Invest Horisont Försiktig SA,LU1349507498,Danske Invest,,,801504
Danske Invest Horisont Offensiv SA,LU1349509783,Danske Invest,,,801853
Danske Invest Horisont Ränta SA,LU1349513462,Danske Invest,,,801713
Danske Invest India A,LU0193801577,Danske Invest,,,18067
Danske Invest Japan A,LU0193802039,Danske Invest,,,3242
Danske Invest Nordiska Företagsobl SEK h,DK0060500262,Danske Invest,,,436064
Danske Invest SICAV Europe A,LU0727217050,Danske Invest,,,882553
Danske Invest SICAV Europe SA SEK,LU1891308568,Danske Invest,,,1145782
Danske Invest Sverige Beta SA,LU1349502002,Danske Invest,,,801494
Danske Invest Sverige Kort Ränta SA,LU1349496940,Danske Invest,,,801502
Danske Invest Sverige Ränta SA,LU1349498565,Danske Invest,,,801500
Danske Invest Sverige SA,LU1349494812,Danske Invest,,,801498
Danske Invest Sverige Småbolag SA SEK,LU1857272386,Danske Invest,,,880673
Danske Invest Tillväxtmarknadsobl SEK h,DK0060486090,Danske Invest,,,454936
Danske Invest USA Index KL SEK,DK0060485795,Danske Invest,,,252935
Delphi Europe A,NO0010039712,Storebrand,,,79691
Delphi Global A,NO0010317282,Storebrand,,,79694
Delphi Green Trends A2,NO0010911183,Storebrand,,,1205820
Delphi Nordic A,NO0010039670,Storebrand,,,79692
Didner & Gerge Aktiefond,SE0000428336,Didner & Gerge,,,1919
Didner & Gerge Global,SE0004167567,Didner & Gerge,,,316079
Didner & Gerge Small & Microcap,SE0005962347,Didner & Gerge,,,499515
Didner & Gerge Småbolag,SE0002699421,Didner & Gerge,,,157699
Didner & Gerge US Small and Microcap,SE0008347447,Didner & Gerge,,,679796
DNB Europa Indeks A,NO0008001872,DNB,,,691673
DNB Finans A,NO0008000593,DNB,,,321692
DNB Fund - Asian Mid Cap Retail A EUR,LU0067059799,DNB,,,150
DNB Fund - Disruptive Opp Retail A SEK,LU2085662703,DNB,,,1051349
DNB Fund - Emerging Mkt Retail A USD,LU0090738252,DNB,,,2161
DNB Fund - India retail A,LU0302237721,DNB,,,112109
DNB Fund - Nordic Small Cap Retail A SEK,LU2085661721,DNB,,,1038776
DNB Fund - Private Equity retail B,LU0302296065,DNB,,,131490
DNB Fund Future Waves Retail A EUR,LU0029375739,DNB,,,2252
DNB Fund Nordic Equities retail A,LU0083425479,DNB,,,1646
DNB Fund Renewable Energy retail A,LU0302296149,DNB,,,96447
DNB Fund Technology retail A,LU0302296495,DNB,,,131491
DNB Fund TMT L/S Equities retail A SEK,LU0547714872,DNB,,,257890
DNB Global Emerging Markets Indeks A,NO0010815855,DNB,,,862034
DNB Global Indeks A,NO0010582984,DNB,,,463161
DNB Global Lavkarbon A,NO0010801418,DNB,,,789173
DNB Grönt Norden,NO0010102866,DNB,,,691676
DNB Health Care A,NO0010337579,DNB,,,321696
DNB High Yield retail A SEK,LU2077710585,DNB,,,1038774
DNB Klimat Indeks A2,NO0011001869,DNB,,,1263179
DNB Norden Indeks A,NO0010815871,DNB,,,862033
DNB SMB A,NO0010337819,DNB,,,321849
DNB Teknologi A,NO0010337678,DNB,,,321871
DNB Telecom A,NO0010337942,DNB,,,290054
DNB USA Indeks A,NO0010337959,DNB,,,329335
Dynamica 90 Global,SE0003655224,Navigera,,,324895
East Capital Balkans A1 SEK,LU1941809938,East Capital,,,1370204
East Capital China A-Shares A USD,LU1840853219,East Capital,,,899034
East Capital Global EM Sustainable A SEK,LU0562934264,East Capital,,,367456
East Capital Global Frontier Mkts A SEK,LU1125674611,East Capital,,,524110
East Capital Multi-Strategi A SEK,SE0007278585,East Capital,,,814733
East Capital New Europe A1 SEK,LU2437452928,East Capital,,,1370205
Elementa,SE0006852281,Elementa,,,553535
Enter Cross Credit A,SE0000813933,Enter,,,2066
Enter Preserve A,SE0005624632,Enter,,,470076
Enter Return A,SE0002729038,Enter,,,158428
Enter Select A,SE0002096545,Enter,,,91107
Enter Select Pro,SE0001172362,Enter,,,26
Enter Småbolagsfond A,SE0007413398,Enter,,,589935
Enter Sverige A,SE0000813917,Enter,,,1963
Enter Sverige Pro,SE0000813925,Enter,,,1964
Ericsson & Partners Edge A,SE0016845416,Ericsson & Partners Förmögenhetsförvaltning AB,,,1322460
Espiria 30 A,LU1120868382,East Capital,,,528376
Espiria 30 C,LU0674583116,East Capital,,,323519
Espiria 60 A,LU1120868465,East Capital,,,528379
Espiria 90 C,LU0674582571,East Capital,,,323517
Espiria Global A,LU0901111830,East Capital,,,421196
Espiria SDG Solutions A,LU1120868549,East Capital,,,528375
eSports Fund,SE0014957858,AIFM Capital AB,,,1145780
European Alliance RPM Evolving CTA ER,LU1193396774,RPM,,,616835
Evli Aktieindex B,FI4000058821,Evli,,,416835
Evli Corporate Bond B SEK,FI4000043682,Evli,,,355599
Evli Emerging Frontier B,FI4000066915,Evli,,,437855
Evli Emerging Markets Credit B,FI4000066899,Evli,,,476475
Evli Equity Factor Europe B,FI4000153820,Evli,,,996614
Evli Equity Factor USA B,FI4000210810,Evli,,,996615
Evli Euro Liquidity B SEK,FI4000058854,Evli,,,416235
Evli Europe B,FI0008802046,Evli,,,656
Evli Finland Mix B,FI0008801212,Evli,,,274
Evli Finland Select B,FI0008800107,Evli,,,1674
Evli Finnish Small Cap B,FI0008804422,Evli,,,864975
Evli GEM B,FI4000153697,Evli,,,864973
Evli Global B,FI0008801188,Evli,,,2354
Evli Global Multi Manager 30 Fund B,FI0008805650,Evli,,,841333
Evli Global X B SEK,FI4000320973,Evli,,,864974
Evli High Yield B,FI0008803929,Evli,,,906
Evli High Yield B SEK,FI4000043690,Evli,,,355598
Evli Nordic B,FI0008810908,Evli,,,86207
Evli Nordic Corporate Bond B SEK,FI4000058862,Evli,,,416237
Evli Short Corporate Bond B,FI0008800511,Evli,,,869
Evli Short Corporate Bond B SEK,FI4000043716,Evli,,,380220
Evli Statsobligation B,FI0008800495,Evli,,,847
Evli Sverige Småbolag B,FI0008813142,Evli,,,137448
Excalibur Fixed Income A,SE0001097080,Excalibur,,,38392
FE Select A,SE0014958161,FCG,,,1162342
Fidelity America A-Dis-USD,LU0048573561,Fidelity,,,1484
Fidelity American Growth A-Dis-USD,LU0077335932,Fidelity,,,1607
Fidelity ASEAN A-Acc-USD,LU0261945553,Fidelity,,,76979
Fidelity ASEAN A-Dis-USD,LU0048573645,Fidelity,,,1320940
Fidelity Asia Pacific Div A-Dis-USD,LU0205439572,Fidelity,,,351739
Fidelity Asia Pacific Opps A-Acc-EUR,LU0345361124,Fidelity,,,133428
