MIC,Name
BOTE,BOTSWANA STOCK EXCHANGE - EXCHANGE TRADED FUNDS (ETF)
BOTV,BOTSWANA STOCK EXCHANGE - VENTURE CAPITAL
XBOT,BOTSWANA STOCK EXCHANGE
BCMM,BOLSA DE CEREAIS E MERCADORIAS DE MARINGÁ
BOVM,BOLSA DE VALORES MINAS-ESPÍRITO SANTO-BRASÍLIA
BRIX,BRAZILIAN ENERGY EXCHANGE
BVMF,B3 S.A. - BRASIL BOLSA BALCAO
CETI,CETIP S.A. - MERCADOS ORGANIZADOS
SELC,SISTEMA ESPECIAL DE LIQUIDACAO E CUSTODIA DE TITULOS PUBLICOS
ABUL,BULGARIAN STOCK EXCHANGE - ALTERNATIVE MARKET
BDSK,DSK BANK EAD
BEBG,BULGARIAN ENERGY TRADING PLATFORM
BGHX,BALKAN GAS HUB EAD
EUFN,EURO-FINANCE AD
GBUL,BULGARIAN STOCK EXCHANGE - SME GROWTH MARKET BEAM
GMBG,MTF SOFIA - GROWTH MARKET
IBEX,INDEPENDENT BULGARIAN ENERGY EXCHANGE
IBUL,BULGARIAN STOCK EXCHANGE - INTERNATIONAL INSTRUMENTS
JBUL,BULGARIAN STOCK EXCHANGE - INTERNATIONAL MTF
MBUL,MTF SOFIA
PBUL,BULGARIAN STOCK EXCHANGE - APA
T212,TRADING 212 LIMITED - SYSTEMATIC INTERNALISER
UCBG,UNICREDIT BULBANK AD - SYSTEMATIC INTERNALISER
XBUL,BULGARIAN STOCK EXCHANGE
ZBUL,BULGARIAN STOCK EXCHANGE - MAIN MARKET
XCSX,CAMBODIA SECURITIES EXCHANGE
XDSX,DOUALA STOCK EXCHANGE
BNSX,THE BANK OF NOVA SCOTIA - SYSTEMATIC INTERNALISER
CAND,CANDEAL.CA INC
CANX,CANNEX FINANCIAL EXCHANGE LTS
CHIC,CHI-X CANADA ATS
COTC,BMO CAPITAL MARKETS - CAD OTC TRADES
CSE2,CANADIAN SECURITIES EXCHANGE - CSE2
EQCA,EQUILEND CANADA CORP.
IVZX,INVESCO CANADA PTF TRADES
LICA,LIQUIDNET CANADA ATS
LYNX,LYNX ATS
MATN,MATCH NOW
NEOC,NEO CONNECT
NEOD,NEO EXCHANGE - NEO-D (DARK)
NEOE,NEO EXCHANGE - NEO-L (MARKET BY ORDER)
NEON,NEO EXCHANGE - NEO-N (MARKET BY PRICE)
NGXC,NATURAL GAS EXCHANGE
OMGA,OMEGA ATS
PURE,CANADIAN SECURITIES EXCHANGE - PURE
VDRK,TSX VENTURE EXCHANGE - DRK
XATS,ALPHA EXCHANGE
XBBK,PERIMETER FINANCIAL CORP. - BLOCKBOOK ATS
XCNQ,CANADIAN SECURITIES EXCHANGE
XCX2,CX2
XCXD,NASDAQ CXD
XDRK,TORONTO STOCK EXCHANGE - DRK
XICX,INSTINET CANADA CROSS
XMOC,MONTREAL CLIMATE EXCHANGE
XMOD,THE MONTREAL EXCHANGE / BOURSE DE MONTREAL
XTNX,TSX VENTURE EXCHANGE - NEX
XTSE,TORONTO STOCK EXCHANGE
XTSX,TSX VENTURE EXCHANGE
XBVC,CAPE VERDE STOCK EXCHANGE
XCAY,CAYMAN ISLANDS STOCK EXCHANGE
BOVA,BOLSA DE CORREDORES - BOLSA DE VALORES
XBCL,LA BOLSA ELECTRONICA DE CHILE
XSGO,SANTIAGO STOCK EXCHANGE
BJSE,BEIJING STOCK EXCHANGE
CCFX,CHINA FINANCIAL FUTURES EXCHANGE
CFBC,CHINA FOREIGN EXCHANGE TRADE SYSTEM - SHANGHAI - HONG KONG BOND CONNECT
CSSX,CHINA STAINLESS STEEL EXCHANGE
GSXC,GSX CHINA
NEEQ,NATIONAL EQUITIES EXCHANGE AND QUOTATIONS
SGEX,SHANGHAI GOLD EXCHANGE
XCFE,CHINA FOREIGN EXCHANGE TRADE SYSTEM
XDCE,DALIAN COMMODITY EXCHANGE
XINE,SHANGHAI INTERNATIONAL ENERGY EXCHANGE
XSEC,SHENZHEN STOCK EXCHANGE - SHENZHEN - HONG KONG STOCK CONNECT
XSGE,SHANGHAI FUTURES EXCHANGE
XSHE,SHENZHEN STOCK EXCHANGE
XSHG,SHANGHAI STOCK EXCHANGE
XSSC,SHANGHAI STOCK EXCHANGE - SHANGHAI - HONG KONG STOCK CONNECT
XZCE,ZHENGZHOU COMMODITY EXCHANGE
XBOG,BOLSA DE VALORES DE COLOMBIA
XBNV,"BOLSA NACIONAL DE VALORES, S.A."
XCRO,CROATIAN POWER EXCHANGE
XOTP,OTP BANKA D.D.
XTRZ,ZAGREB MONEY AND SHORT TERM SECURITIES MARKET INC
XZAG,ZAGREB STOCK EXCHANGE
XZAP,PROGRESS MARKET
ZAPA,ZAGREB STOCK EXCHANGE - APA
DCSX,DUTCH CARIBBEAN SECURITIES EXCHANGE
ATHL,ATHLOS CAPITAL INVESTMENT SERVICES LTD - SYSTEMATIC INTERNALISER
ATLN,ATONLINE LIMITED - SYSTEMATIC INTERNALISER
BCSC,BROKERCREDITSERVICE (CYPRUS) LIMITED - SYSTEMATIC INTERNALISER
CFIF,CREDIT FINANCIER INVEST (CFI) LTD
GPBC,GPB-FINANCIAL SERVICES LTD - SYSTEMATIC INTERNALISER
MKAP,MERITKAPITAL - SYSTEMATIC INTERNALISER
RENC,RENAISSANCE SECURITIES (CYPRUS) LIMITED
SIBC,SIB CYPRUS LTD - SYSTEMATIC INTERNALISER
TMCY,TRADING 212 MARKETS LIMITED - SYSTEMATIC INTERNALISER
XCYO,CYPRUS STOCK EXCHANGE - OTC
XCYS,CYPRUS STOCK EXCHANGE
XECM,MTF - CYPRUS EXCHANGE
CELP,"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - OTHER LIQUIDITY PROVIDER (OLP)"
CESI,"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - SYSTEMATIC INTERNALISER"
CSAS,"CESKA SPORITELNA, A.S. - SYSTEMATIC INTERNALISER"
CSOB,"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S."
FTFM,42 FINANCIAL SERVICES - MTF
FTFS,42 FINANCIAL SERVICES
KOME,"KOMERCNI BANKA, A.S."
PATF,PATRIA FINANCE A.S.
RFBK,"RAIFFEISENBANK, AS.  - SYSTEMATIC INTERNALISER"
UBCZ,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S."
WOOD,"WOOD & COMPANY FINANCIAL SERVICES, A.S. - SYSTEMATIC INTERNALISER"
XPRA,PRAGUE STOCK EXCHANGE
XPRM,PRAGUE STOCK EXCHANGE - MTF
XPXE,POWER EXCHANGE CENTRAL EUROPE
XRMO,RM-SYSTEM CZECH STOCK EXCHANGE - MTF
XRMZ,RM-SYSTEM CZECH STOCK EXCHANGE
ABSI,ALM. BRAND BANK - SYSTEMATIC INTERNALISER
ALSI,AKTIESELSKABET ARBEJDERNES LANDSBANK - SYSTEMATIC INTERNALISER
DASI,DANSKE BANK A/S - SYSTEMATIC INTERNALISER
DCSE,NASDAQ COPENHAGEN A/S - NORDIC@MID
DKTC,DANSK OTC
DNDK,FIRST NORTH DENMARK - NORDIC@MID
DSME,FIRST NORTH DENMARK -SME GROWTH MARKET
FNDK,FIRST NORTH DENMARK
JBSI,JYSKE BANK - SYSTEMATIC INTERNALISER
JYSI,DEN JYSKE SPAREKASSE - SYSTEMATIC INTERNALISER
LASP,LAN AND SPAR BANK A/S
MCSE,NASDAQ COPENHAGEN A/S - AUCTION ON DEMAND
MNDK,FIRST NORTH DENMARK - AUCTION ON DEMAND
NPGA,GASPOINT NORDIC A/S
NYSI,NYKREDIT BANK - SYSTEMATIC INTERNALISER
SBSI,SYDBANK A/S
SKSI,SPAREKASSEN KRONJYLLAND - SYSTEMATIC INTERNALISER
SNSI,SPAR NORD BANK - SYSTEMATIC INTERNALISER
SXSI,SAXO BANK A/S
XCSE,NASDAQ COPENHAGEN A/S
XBVR,BOLSA DE VALORES DE LA REPUBLICA DOMINICANA SA.
XGUA,BOLSA DE VALORES DE GUAYAQUIL
XQUI,BOLSA DE VALORES DE QUITO
NILX,NILE STOCK EXCHANGE
XCAI,EGYPTIAN EXCHANGE
XSVA,EL SALVADOR STOCK EXCHANGE
FNEE,FIRST NORTH ESTONIA
LMNR,LUMINOR BANK AS
SWEE,SWEDBANK ESTONIA - SYSTEMATIC INTERNALISER
XTAL,NASDAQ TALLINN AS
VMFX,THE FAROESE SECURITIES MARKET
XSPS,SOUTH PACIFIC STOCK EXCHANGE
DHEL,NASDAQ HELSINKI LTD - NORDIC@MID
DNFI,FIRST NORTH FINLAND - NORDIC@MID
FGEX,KAASUPORSSI - FINNISH GAS EXCHANGE
FNFI,FIRST NORTH FINLAND
FSME,FIRST NORTH FINLAND - SME GROWTH MARKET
MHEL,NASDAQ HELSINKI LTD -  AUCTION ON DEMAND
MNFI,FIRST NORTH FINLAND - AUCTION ON DEMAND
OPCO,OP CORPORATE BANK PLC - SYSTEMATIC INTERNALISER
XHEL,NASDAQ HELSINKI LTD
XNOR,NORDEA - SYSTEMATIC INTERNALISER
AACA,CREDIT AGRICOLE CIB - SYSTEMATIC INTERNALISER
ALXP,EURONEXT GROWTH PARIS
AQEA,AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD)
AQED,AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB)
AQEU,AQUIS EXCHANGE EUROPE
AURB,AUREL
AURO,AUREL - OTF
BNPA,BNP PARIBAS ARBITRAGE SNC - SYSTEMATIC INTERNALISER
BNPS,BNP PARIBAS SA - SYSTEMATIC INTERNALISER
BPSX,BNP PARIBAS SECURITIES SERVICES - SYSTEMATIC INTERNALISER
BRED,BRED BANQUE POPULAIRE - SYSTEMATIC INTERNALISER
CMCI,CREDIT INDUSTRIEL ET COMMERCIAL - SYSTEMATIC INTERNALISER
COAL,LA COTE ALPHA
EDRF,EDMOND DE ROTHSCHILD  (FRANCE) - SYSTEMATIC INTERNALISER
ELXE,ELIXIUM S.A.
ENSL,ENGNSOL - OMP
EPEX,EPEX SPOT SE
ESLO,ENGNSOL
EXSB,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER CORPORATE BONDS
EXSD,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER OTC DERIVATIVES
EXSE,EXANE BNP PARIBAS - SYSTEMATIC INTERNALISER
EXSF,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER OTHER BONDS
EXSH,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER SHARES
EXSP,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER STRUCTURED PRODUCTS
EXSY,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER
EXYY,EXANE DERIVATIVES - SYSTEMATIC INTERNALISER CONVERTIBLES
FMTS,MTS FRANCE SAS
GFPO,GFI PARIS - OTF
GIPB,GOLDMAN SACHS INTERNATIONAL PARIS BRANCH
GMEO,GRIFFIN MARKETS EUROPE - OTF
GMES,GRIFFIN MARKETS EUROPE
GMTF,GALAXY
GSPX,GOLDMAN SACHS INTERNATIONAL PARIS BRANCH - SYSTEMATIC INTERNALISER
HBFR,HSBC CONTINENTAL EUROPE - SYSTEMATIC INTERNALISER
HPCO,HPC ETRADING
HPCS,HPC ENERGY TRADING
HPCV,HPC SA - VOICE OTF
HPCX,HPC SA
ICOR,ICAP EU -  OTF - REGISTRATION
ICOT,ICAP EU - OTF
KOTF,OTFLINK
LCHC,LCH.CLEARNET
LNEQ,TP ICAP EU - MTF - LIQUIDNET EU EQUITY
LNFI,TP ICAP EU - MTF - LIQUIDNET EU FIXED INCOME
MAQE,MACQUARIE BANK EUROPE DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER
MHBP,MIZUHO BANK LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER
MKTF,MARKET SECURITIES (FRANCE) SA
MLER,BOFA SECURITIES EUROPE - RFQ - SYSTEMATIC INTERNALISER
MLES,BOFA SECURITIES EUROPE - SYSTEMATIC INTERNALISER
MLEX,BOFA SECURITIES EUROPE
MTCH,BONDMATCH
MUBP,"MUFG BANK, LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER"
NABP,NATIONAL AUSTRALIA BANK EUROPE S.A.
NATX,NATIXIS - SYSTEMATIC INTERNALISER
NOWX,NOW CP - NEU CP
ODDO,ODDO BHF
ODOC,ODDO CONTREPARTIE
RBCC,RBC - PARIS BRANCH - SYSTEMATIC INTERNALISER
SGMU,SIGMA X EUROPE NON-DISPLAYED BOOK
SGMV,SIGMA X EUROPE AUCTION BOOK
SGMW,SIGMA X EUROPE NEGOTIATED TRADE
SGOE,SG OPTION EUROPE - SYSTEMATIC INTERNALISER
SMBP,SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED - PARIS BRANCH
TDON,TRADITION PARIS - TSAF
TLCM,LOUIS CAPITAL MARKETS EU
TPEE,TP ICAP EU - MTF - EQUITY AND ETF
TPER,TULLETT PREBON EU OTF - REGISTRATION
TPEU,TULLETT PREBON EU OTF
TPIC,TP ICAP EU - MTF
TPIO,TP ICAP EU - MTF - ORDERBOOK
TPIR,TP ICAP EU - MTF - REGISTRATION
TRXE,TRAD-X EUROPE
TSAF,TSAF OTC - OTF
WFSE,"WELLS FARGO SECURITIES EUROPE, S.A."
XAFR,ALTERNATIVA FRANCE
XAPA,EURONEXT - APA
XBLK,EURONEXT BLOCK 2
XBLN,BLUENEXT
XETF,EURONEXT ETF ACCESS
XMAT,EURONEXT PARIS MATIF
XMLI,EURONEXT ACCESS PARIS
XMON,EURONEXT PARIS MONEP
XPAR,EURONEXT - EURONEXT PARIS
XPOW,POWERNEXT
XSGA,SOCIETE GENERALE - SYSTEMATIC INTERNALISER
XSPM,EURONEXT STRUCTURED PRODUCTS MTF
XTXE,XTX MARKETS SAS
XGSE,GEORGIA STOCK EXCHANGE
360T,360T
AUTO,AUTOBAHN FX
BAAD,BAADER BANK - SYSTEMATIC INTERNALISER
BDEA,BAYERNLB - IDEAL FX - SYSTEMATIC INTERNALISER
BERA,BOERSE BERLIN - REGULIERTER MARKT
BERB,BOERSE BERLIN - FREIVERKEHR
BERC,BOERSE BERLIN - BERLIN SECOND REGULATED MARKET
BGFI,BERENBERG FIXED INCOME - SYSTEMATIC INTERNALISER
BGFX,BERENBERG FX - SYSTEMATIC INTERNALISER
BGSI,BERENBERG - SYSTEMATIC - INTERNALISER
BINV,BOND INVEST - SYSTEMATIC INTERNALISER
BLBB,BAYERNLB
BLBS,BAYERNLB - BONDS MARKET - SYSTEMATIC INTERNALISER
BLEQ,BAYERNLB - EQUITIES MARKET
BLFX,BAYERNLB - FX DERIVATIVES MARKET
BLIQ,BAYERNLB - LIQP BONDS MARKET
BOCF,BANK OF CHINA LIMITED - FRANKFURT BRANCH - SYSTEMATIC INTERNALISER
BSFX,BAYERNLB - FX HANDEL - SYSTEMATIC INTERNALISER
CATS,CATS
CBKA,COMMERZBANK AG
CBKC,COMMERZBANK  COMMODITY DERIVATIVES - SYSTEMATIC INTERNALISER
CBKD,COMMERZBANK EQUITY DERIVATIVES - SYSTEMATIC INTERNALISER
CBKE,COMMERZBANK EQUITY - SYSTEMATIC INTERNALISER
CBKF,COMMERZBANK COMMANDER - SYSTEMATIC INTERNALISER
CBKG,COMMERZBANK FIXED INCOME - SYSTEMATIC INTERNALISER
CBKS,COMMERZBANK INTEREST RATE SWAPS - SYSTEMATIC INTERNALISER
CDSI,CREDIT SUISSE (DEUTSCHLAND) AG - SYSTEMATIC INTERNALISER
CGEC,CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA LIQUIDITY HUB
CGEE,CITI MATCH DE CONTRA LIQUIDITY
CGET,CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA TRADING
CGMD,CITIGROUP GLOBAL MARKETS EUROPE AG - SYSTEMATIC INTERNALISER
CSDA,CREDIT SUISSE AKTIENGESELLSCHAFT
DAPA,DEUTSCHE BOERSE AG - APA SERVICE
DBAG,DEUTSCHE BANK AG
DBDX,DEUTSCHE BOERSE DIGITAL EXCHANGE
DBES,DEUTSCHE BANK AG - SYSTEMATIC INTERNALISER
DBLN,DEUTSCHE BANK AG - LONDON - SYSTEMATIC INTERNALISER
DBMO,DEUTSCHE BANK - MANUAL OTC
DBOX,DEUTSCHE BANK OFF EXCHANGE TRADING
DEKA,DEKABANK DEUTSCHE GIROZENTRALE
DUSA,BOERSE DUESSELDORF - REGULIERTER MARKT
DUSB,BOERSE DUESSELDORF - FREIVERKEHR
DUSC,BOERSE DUESSELDORF - QUOTRIX - REGULIERTER MARKT
DUSD,BOERSE DUESSELDORF - QUOTRIX MTF
DZBK,DZ BANK - SYSTEMATIC INTERNALISER
EBLX,BLOCKMATCH EUROPE DARK
ECAG,EUREX CLEARING AG
ECGS,EUREX CLEARING AG - SME
ENTW,BLOCKMATCH EUROPE NT
EQTA,BOERSE BERLIN EQUIDUCT TRADING - REGULIERTER MARKT
EQTB,BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET
EQTC,BOERSE BERLIN EQUIDUCT TRADING - FREIVERKEHR
EQTD,BOERSE BERLIN EQUIDUCT TRADING - OTC
ERFQ,BLOCKMATCH EUROPE RFQ
EUWA,EUWAX AG - SYSTEMATIC INTERNALISER
EUWX,EUWAX
FICX,FINANCIAL INFORMATION CONTRIBUTORS EXCHANGE
FRAA,BOERSE FRANKFURT - REGULIERTER MARKT
FRAB,BOERSE FRANKFURT - FREIVERKEHR
FRAS,BOERSE FRANKFURT - SCALE
FRAU,BOERSE FRANKFURT - REGULIERTERMARKT - OFF-BOOK
FRAV,BOERSE FRANKFURT - FREIVERKEHR - OFF-BOOK
FRAW,BOERSE FRANKFURT - SCALE - OFF-BOOK
GSBE,GOLDMAN SACHS BANK EUROPE SE
GSEI,GOLDMAN SACHS BANK EUROPE SE - SYSTEMATIC INTERNALISER
HAMA,BOERSE HAMBURG - REGULIERTER MARKT
HAMB,BOERSE HAMBURG - FREIVERKEHR
HAML,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE
HAMM,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE - REGULIERTER MARKT
HAMN,BOERSE HAMBURG - LANG AND SCHWARZ EXCHANGE - FREIVERKEHR
HANA,BOERSE HANNOVER - REGULIERTER MARKT
HANB,BOERSE HANNOVER - FREIVERKEHR
HELA,HELABA - SYSTEMATIC INTERNALISER
HSBT,HSBC TRINKAUS AND BURKHARDT AG - SYSTEMATIC INTERNALISER
IKBS,IKB DEUTSCHE INDUSTRIEBANK AG - SYSTEMATIC INTERNALISER
JEFE,JEFFERIES EUROPE
JESI,JEFFERIES EUROPE - SYSTEMATIC INTERNALISER
JPEU,J.P. MORGAN SE - SYSTEMATIC INTERNALISER
LBBW,LBBW - LANDESBANK BADEN-WUERTTEMBERG
LBCW,LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH - SYSTEMATIC INTERNALISER
LBWL,LBBW - LANDESBANK BADEN-WUERTTEMBERG - LIQUIDITY PROVIDER
LBWS,LBBW - LANDESBANK BADEN-WUERTTEMBERG - SYSTEMATIC INTERNALISER
LIGA,LIGA BANK EG - SYSTEMATIC INTERNALISER
LSSI,LANG AND SCHWARZ TRADE CENTER - SYSTEMATIC INTERNALISER
MESI,MORGAN STANLEY EUROPE S.E. - SYSTEMATIC INTERNALISER
MHBD,"MIZUHO BANK, LTD. DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER"
MHEU,MIZUHO SECURITIES EUROPE - SYSTEMATIC INTERNALISER
MSEU,MORGAN STANLEY EUROPE S.E.
MUNA,BOERSE MUENCHEN - REGULIERTER MARKT
MUNB,BOERSE MUENCHEN - FREIVERKEHR
MUNC,BOERSE MUENCHEN - GETTEX - REGULIERTER MARKT
MUND,BOERSE MUENCHEN - GETTEX - FREIVERKEHR
NCME,SMBC NIKKO CAPITAL MARKETS EUROPE GMBH
NESI,NOMURA EUROPE - SYSTEMATIC INTERNALISER
NLBX,NORDDEUTSCHE LANDESBANK - GIROZENTRALE - SYSTEMATIC INTERNALISER
NORD,HSH NORDBANK - SYSTEMATIC INTERNALISER
OLBB,OLDENBURGISCHE LANDESBANK AG FX  HANDEL - SYSTEMATIC INTERNALISER
RBCG,RBC CAPITAL MARKETS (EUROPE) GMBH
SCAG,STANDARD CHARTERED BANK AG - SYSTEMATIC INTERNALISER
SEBA,STIFEL EUROPE BANK AG  - SYSTEMATIC INTERNALISER
SMBD,SUMITOMO MITSUI BANKING CORPORATION - DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER
SMFF,SMBC BANK EU AG - SYSTEMATIC INTERNALISER
SPEX,SPECTRUM MARKETS
SSBI,STATE STREET BANK INTERNATIONAL GMBH
SSBM,STATE STREET BANK INTERNATIONAL FX - SYSTEMATIC INTERNALISER
STUA,BOERSE STUTTGART - REGULIERTER MARKT
STUB,BOERSE STUTTGART - FREIVERKEHR
STUC,BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 2
STUD,BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 2
STUE,BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 3
STUF,BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 3
TGAT,TRADEGATE EXCHANGE
