title,country,frequency,units,series_id
Consumer Price Index for Estonia,estonia,quarterly,growth_same,CPALTT01EEQ659N
Consumer Price Index for Estonia,estonia,quarterly,index_2015,CPALTT01EEQ661N
Consumer Price Index for Finland,finland,annual,growth_previous,CPALTT01FIA657N
Consumer Price Index for Finland,finland,annual,growth_same,CPALTT01FIA659N
Consumer Price Index for Finland,finland,monthly,growth_previous,CPALTT01FIM657N
Consumer Price Index for Finland,finland,monthly,growth_same,CPALTT01FIM659N
Consumer Price Index for Finland,finland,quarterly,growth_previous,CPALTT01FIQ657N
Consumer Price Index for Finland,finland,quarterly,growth_same,CPALTT01FIQ659N
Consumer Price Index for France,france,annual,growth_previous,CPALTT01FRA657N
Consumer Price Index for France,france,annual,growth_same,CPALTT01FRA659N
Consumer Price Index for France,france,monthly,growth_previous,CPALTT01FRM657N
Consumer Price Index for France,france,monthly,growth_same,CPALTT01FRM659N
Consumer Price Index for France,france,quarterly,growth_previous,CPALTT01FRQ657N
Consumer Price Index for France,france,quarterly,growth_same,CPALTT01FRQ659N
Consumer Price Index for Germany,germany,annual,growth_previous,CPALTT01DEA657N
Consumer Price Index for Germany,germany,annual,growth_same,CPALTT01DEA659N
Consumer Price Index for Germany,germany,monthly,growth_previous,CPALTT01DEM657N
Consumer Price Index for Germany,germany,monthly,growth_same,CPALTT01DEM659N
Consumer Price Index for Germany,germany,quarterly,growth_previous,CPALTT01DEQ657N
Consumer Price Index for Germany,germany,quarterly,growth_same,CPALTT01DEQ659N
Consumer Price Index for Greece,greece,annual,growth_previous,CPALTT01GRA657N
Consumer Price Index for Greece,greece,annual,growth_same,CPALTT01GRA659N
Consumer Price Index for Greece,greece,monthly,growth_previous,CPALTT01GRM657N
Consumer Price Index for Greece,greece,monthly,growth_same,CPALTT01GRM659N
Consumer Price Index for Greece,greece,quarterly,growth_previous,CPALTT01GRQ657N
Consumer Price Index for Greece,greece,quarterly,growth_same,CPALTT01GRQ659N
Consumer Price Index for Hungary,hungary,annual,growth_previous,CPALTT01HUA657N
Consumer Price Index for Hungary,hungary,annual,growth_same,CPALTT01HUA659N
Consumer Price Index for Hungary,hungary,monthly,growth_previous,CPALTT01HUM657N
Consumer Price Index for Hungary,hungary,monthly,growth_same,CPALTT01HUM659N
Consumer Price Index for Hungary,hungary,quarterly,growth_previous,CPALTT01HUQ657N
Consumer Price Index for Hungary,hungary,quarterly,growth_same,CPALTT01HUQ659N
Consumer Price Index for Iceland,iceland,annual,growth_previous,CPALTT01ISA657N
Consumer Price Index for Iceland,iceland,annual,growth_same,CPALTT01ISA659N
Consumer Price Index for Iceland,iceland,monthly,growth_previous,CPALTT01ISM657N
Consumer Price Index for Iceland,iceland,monthly,growth_same,CPALTT01ISM659N
Consumer Price Index for Iceland,iceland,quarterly,growth_previous,CPALTT01ISQ657N
Consumer Price Index for Iceland,iceland,quarterly,growth_same,CPALTT01ISQ659N
Consumer Price Index for India,india,annual,growth_previous,CPALTT01INA657N
Consumer Price Index for India,india,annual,growth_same,CPALTT01INA659N
Consumer Price Index for India,india,monthly,growth_previous,CPALTT01INM657N
Consumer Price Index for India,india,monthly,growth_same,CPALTT01INM659N
Consumer Price Index for India,india,quarterly,growth_previous,CPALTT01INQ657N
Consumer Price Index for India,india,quarterly,growth_same,CPALTT01INQ659N
Consumer Price Index for Indonesia,indonesia,annual,growth_previous,CPALTT01IDA657N
Consumer Price Index for Indonesia,indonesia,annual,growth_same,CPALTT01IDA659N
Consumer Price Index for Indonesia,indonesia,monthly,growth_previous,CPALTT01IDM657N
Consumer Price Index for Indonesia,indonesia,monthly,growth_same,CPALTT01IDM659N
Consumer Price Index for Indonesia,indonesia,quarterly,growth_previous,CPALTT01IDQ657N
Consumer Price Index for Indonesia,indonesia,quarterly,growth_same,CPALTT01IDQ659N
Consumer Price Index for Ireland,ireland,annual,growth_previous,CPALTT01IEA657N
Consumer Price Index for Ireland,ireland,annual,growth_same,CPALTT01IEA659N
Consumer Price Index for Ireland,ireland,monthly,growth_previous,CPALTT01IEM657N
Consumer Price Index for Ireland,ireland,monthly,growth_same,CPALTT01IEM659N
Consumer Price Index for Ireland,ireland,quarterly,growth_previous,CPALTT01IEQ657N
Consumer Price Index for Ireland,ireland,quarterly,growth_same,CPALTT01IEQ659N
Consumer Price Index for Israel,israel,annual,growth_previous,CPALTT01ILA657N
Consumer Price Index for Israel,israel,annual,growth_same,CPALTT01ILA659N
Consumer Price Index for Israel,israel,monthly,growth_previous,CPALTT01ILM657N
Consumer Price Index for Israel,israel,monthly,growth_same,CPALTT01ILM659N
Consumer Price Index for Israel,israel,quarterly,growth_previous,CPALTT01ILQ657N
Consumer Price Index for Israel,israel,quarterly,growth_same,CPALTT01ILQ659N
Consumer Price Index for Italy,italy,annual,growth_previous,CPALTT01ITA657N
Consumer Price Index for Italy,italy,annual,growth_same,CPALTT01ITA659N
Consumer Price Index for Italy,italy,monthly,growth_previous,CPALTT01ITM657N
Consumer Price Index for Italy,italy,monthly,growth_same,CPALTT01ITM659N
Consumer Price Index for Italy,italy,quarterly,growth_previous,CPALTT01ITQ657N
Consumer Price Index for Italy,italy,quarterly,growth_same,CPALTT01ITQ659N
Consumer Price Index for Japan,japan,monthly,index_2015,CPALCY01JPM661N
Consumer Price Index for Japan,japan,quarterly,index_2015,CPALCY01JPQ661N
Consumer Price Index for Japan,japan,monthly,growth_previous,CPALTT01JPM657N
Consumer Price Index for Japan,japan,monthly,growth_same,CPALTT01JPM659N
Consumer Price Index for Japan,japan,monthly,index_2015,CPALTT01JPM661S
Consumer Price Index for Japan,japan,quarterly,growth_previous,CPALTT01JPQ657N
Consumer Price Index for Japan,japan,quarterly,growth_same,CPALTT01JPQ659N
Consumer Price Index for Japan,japan,quarterly,index_2015,CPALTT01JPQ661S
Consumer Price Index for Luxembourg,luxembourg,annual,growth_previous,CPALTT01LUA657N
Consumer Price Index for Luxembourg,luxembourg,annual,growth_same,CPALTT01LUA659N
Consumer Price Index for Luxembourg,luxembourg,monthly,growth_previous,CPALTT01LUM657N
Consumer Price Index for Luxembourg,luxembourg,monthly,growth_same,CPALTT01LUM659N
Consumer Price Index for Luxembourg,luxembourg,quarterly,growth_previous,CPALTT01LUQ657N
Consumer Price Index for Luxembourg,luxembourg,quarterly,growth_same,CPALTT01LUQ659N
Consumer Price Index for Mexico,mexico,annual,index_2015,CPALCY01MXA661N
Consumer Price Index for Mexico,mexico,monthly,index_2015,CPALCY01MXM661N
Consumer Price Index for Mexico,mexico,quarterly,index_2015,CPALCY01MXQ661N
Consumer Price Index for Mexico,mexico,annual,growth_previous,CPALTT01MXA657N
Consumer Price Index for Mexico,mexico,annual,growth_same,CPALTT01MXA659N
Consumer Price Index for Mexico,mexico,monthly,growth_previous,CPALTT01MXM657N
Consumer Price Index for Mexico,mexico,monthly,growth_same,CPALTT01MXM659N
Consumer Price Index for Mexico,mexico,quarterly,growth_previous,CPALTT01MXQ657N
Consumer Price Index for Mexico,mexico,quarterly,growth_same,CPALTT01MXQ659N
Consumer Price Index for New Zealand,new_zealand,annual,index_2015,CPALCY01NZA661N
Consumer Price Index for New Zealand,new_zealand,quarterly,index_2015,CPALCY01NZQ661N
Consumer Price Index for New Zealand,new_zealand,annual,growth_previous,CPALTT01NZA657N
Consumer Price Index for New Zealand,new_zealand,annual,growth_same,CPALTT01NZA659N
Consumer Price Index for New Zealand,new_zealand,quarterly,growth_previous,CPALTT01NZQ657N
Consumer Price Index for New Zealand,new_zealand,quarterly,growth_same,CPALTT01NZQ659N
Consumer Price Index for Norway,norway,annual,growth_previous,CPALTT01NOA657N
Consumer Price Index for Norway,norway,annual,growth_same,CPALTT01NOA659N
Consumer Price Index for Norway,norway,monthly,growth_previous,CPALTT01NOM657N
Consumer Price Index for Norway,norway,monthly,growth_same,CPALTT01NOM659N
Consumer Price Index for Norway,norway,quarterly,growth_previous,CPALTT01NOQ657N
Consumer Price Index for Norway,norway,quarterly,growth_same,CPALTT01NOQ659N
Consumer Price Index for Poland,poland,annual,growth_previous,CPALTT01PLA657N
Consumer Price Index for Poland,poland,annual,growth_same,CPALTT01PLA659N
Consumer Price Index for Poland,poland,monthly,growth_previous,CPALTT01PLM657N
Consumer Price Index for Poland,poland,monthly,growth_same,CPALTT01PLM659N
Consumer Price Index for Poland,poland,quarterly,growth_previous,CPALTT01PLQ657N
Consumer Price Index for Poland,poland,quarterly,growth_same,CPALTT01PLQ659N
Consumer Price Index for Portugal,portugal,annual,growth_previous,CPALTT01PTA657N
Consumer Price Index for Portugal,portugal,annual,growth_same,CPALTT01PTA659N
Consumer Price Index for Portugal,portugal,monthly,growth_previous,CPALTT01PTM657N
Consumer Price Index for Portugal,portugal,monthly,growth_same,CPALTT01PTM659N
Consumer Price Index for Portugal,portugal,quarterly,growth_previous,CPALTT01PTQ657N
Consumer Price Index for Portugal,portugal,quarterly,growth_same,CPALTT01PTQ659N
Consumer Price Index for Slovenia,slovenia,annual,growth_previous,CPALTT01SIA657N
Consumer Price Index for Slovenia,slovenia,annual,growth_same,CPALTT01SIA659N
Consumer Price Index for Slovenia,slovenia,monthly,growth_previous,CPALTT01SIM657N
Consumer Price Index for Slovenia,slovenia,monthly,growth_same,CPALTT01SIM659N
Consumer Price Index for Slovenia,slovenia,quarterly,growth_previous,CPALTT01SIQ657N
Consumer Price Index for Slovenia,slovenia,quarterly,growth_same,CPALTT01SIQ659N
Consumer Price Index for South Africa,south_africa,annual,growth_previous,CPALTT01ZAA657N
Consumer Price Index for South Africa,south_africa,annual,growth_same,CPALTT01ZAA659N
Consumer Price Index for South Africa,south_africa,monthly,growth_previous,CPALTT01ZAM657N
Consumer Price Index for South Africa,south_africa,monthly,growth_same,CPALTT01ZAM659N
Consumer Price Index for South Africa,south_africa,quarterly,growth_previous,CPALTT01ZAQ657N
Consumer Price Index for South Africa,south_africa,quarterly,growth_same,CPALTT01ZAQ659N
Consumer Price Index for Spain,spain,annual,growth_previous,CPALTT01ESA657N
Consumer Price Index for Spain,spain,annual,growth_same,CPALTT01ESA659N
Consumer Price Index for Spain,spain,monthly,growth_previous,CPALTT01ESM657N
Consumer Price Index for Spain,spain,monthly,growth_same,CPALTT01ESM659N
Consumer Price Index for Spain,spain,quarterly,growth_previous,CPALTT01ESQ657N
Consumer Price Index for Spain,spain,quarterly,growth_same,CPALTT01ESQ659N
Consumer Price Index for Sweden,sweden,annual,growth_previous,CPALTT01SEA657N
Consumer Price Index for Sweden,sweden,annual,growth_same,CPALTT01SEA659N
Consumer Price Index for Sweden,sweden,monthly,growth_previous,CPALTT01SEM657N
Consumer Price Index for Sweden,sweden,monthly,growth_same,CPALTT01SEM659N
Consumer Price Index for Sweden,sweden,quarterly,growth_previous,CPALTT01SEQ657N
Consumer Price Index for Sweden,sweden,quarterly,growth_same,CPALTT01SEQ659N
Consumer Price Index for Switzerland,switzerland,annual,growth_previous,CPALTT01CHA657N
Consumer Price Index for Switzerland,switzerland,annual,growth_same,CPALTT01CHA659N
Consumer Price Index for Switzerland,switzerland,monthly,growth_previous,CPALTT01CHM657N
Consumer Price Index for Switzerland,switzerland,monthly,growth_same,CPALTT01CHM659N
Consumer Price Index for Switzerland,switzerland,quarterly,growth_previous,CPALTT01CHQ657N
Consumer Price Index for Switzerland,switzerland,quarterly,growth_same,CPALTT01CHQ659N
Consumer Price Index for the Czech Republic,czech_republic,annual,growth_previous,CPALTT01CZA657N
Consumer Price Index for the Czech Republic,czech_republic,annual,growth_same,CPALTT01CZA659N
Consumer Price Index for the Czech Republic,czech_republic,monthly,growth_previous,CPALTT01CZM657N
Consumer Price Index for the Czech Republic,czech_republic,monthly,growth_same,CPALTT01CZM659N
Consumer Price Index for the Czech Republic,czech_republic,quarterly,growth_previous,CPALTT01CZQ657N
Consumer Price Index for the Czech Republic,czech_republic,quarterly,growth_same,CPALTT01CZQ659N
Consumer Price Index for the Netherlands,netherlands,annual,growth_previous,CPALTT01NLA657N
Consumer Price Index for the Netherlands,netherlands,annual,growth_same,CPALTT01NLA659N
Consumer Price Index for the Netherlands,netherlands,monthly,growth_previous,CPALTT01NLM657N
Consumer Price Index for the Netherlands,netherlands,monthly,growth_same,CPALTT01NLM659N
Consumer Price Index for the Netherlands,netherlands,quarterly,growth_previous,CPALTT01NLQ657N
Consumer Price Index for the Netherlands,netherlands,quarterly,growth_same,CPALTT01NLQ659N
Consumer Price Index for the Republic of Korea,korea,annual,growth_previous,CPALTT01KRA657N
Consumer Price Index for the Republic of Korea,korea,annual,growth_same,CPALTT01KRA659N
Consumer Price Index for the Republic of Korea,korea,monthly,growth_previous,CPALTT01KRM657N
Consumer Price Index for the Republic of Korea,korea,monthly,growth_same,CPALTT01KRM659N
Consumer Price Index for the Republic of Korea,korea,quarterly,growth_previous,CPALTT01KRQ657N
Consumer Price Index for the Republic of Korea,korea,quarterly,growth_same,CPALTT01KRQ659N
Consumer Price Index for the Russian Federation,russian_federation,monthly,growth_previous,CPALTT01RUM657N
Consumer Price Index for the Russian Federation,russian_federation,monthly,growth_same,CPALTT01RUM659N
Consumer Price Index for the Russian Federation,russian_federation,quarterly,growth_previous,CPALTT01RUQ657N
Consumer Price Index for the Russian Federation,russian_federation,quarterly,growth_same,CPALTT01RUQ659N
Consumer Price Index for the Slovak Republic,slovak_republic,annual,growth_previous,CPALTT01SKA657N
Consumer Price Index for the Slovak Republic,slovak_republic,annual,growth_same,CPALTT01SKA659N
Consumer Price Index for the Slovak Republic,slovak_republic,monthly,growth_previous,CPALTT01SKM657N
Consumer Price Index for the Slovak Republic,slovak_republic,monthly,growth_same,CPALTT01SKM659N
Consumer Price Index for the Slovak Republic,slovak_republic,quarterly,growth_previous,CPALTT01SKQ657N
Consumer Price Index for the Slovak Republic,slovak_republic,quarterly,growth_same,CPALTT01SKQ659N
Consumer Price Index for the United Kingdom,the united kingdom,annual,growth_previous,CPALTT01GBA657N
Consumer Price Index for the United Kingdom,united_kingdom,annual,growth_same,CPALTT01GBA659N
Consumer Price Index for the United Kingdom,united_kingdom,monthly,growth_previous,CPALTT01GBM657N
Consumer Price Index for the United Kingdom,united_kingdom,monthly,growth_same,CPALTT01GBM659N
Consumer Price Index for the United Kingdom,united_kingdom,quarterly,growth_previous,CPALTT01GBQ657N
Consumer Price Index for the United Kingdom,united_kingdom,quarterly,growth_same,CPALTT01GBQ659N
Consumer Price Index for the United States,united_states,annual,index_2015,CPALCY01USA661N
Consumer Price Index for the United States,united_states,monthly,index_2015,CPALCY01USM661N
Consumer Price Index for the United States,united_states,quarterly,index_2015,CPALCY01USQ661N
Consumer Price Index for the United States,united_states,annual,growth_previous,CPALTT01USA657N
Consumer Price Index for the United States,united_states,annual,growth_same,CPALTT01USA659N
Consumer Price Index for the United States,united_states,annual,index_2015,CPALTT01USA661S
Consumer Price Index for the United States,united_states,monthly,growth_previous,CPALTT01USM657N
Consumer Price Index for the United States,united_states,monthly,growth_same,CPALTT01USM659N
Consumer Price Index for the United States,united_states,monthly,index_2015,CPALTT01USM661S
Consumer Price Index for the United States,united_states,quarterly,growth_previous,CPALTT01USQ657N
Consumer Price Index for the United States,united_states,quarterly,growth_same,CPALTT01USQ659N
Consumer Price Index for the United States,united_states,quarterly,index_2015,CPALTT01USQ661S
Consumer Price Index for Turkey,turkey,annual,index_2015,CPALCY01TRA661N
Consumer Price Index for Turkey,turkey,monthly,index_2015,CPALCY01TRM661N
Consumer Price Index for Turkey,turkey,quarterly,index_2015,CPALCY01TRQ661N
Consumer Price Index for Turkey,turkey,annual,growth_previous,CPALTT01TRA657N
Consumer Price Index for Turkey,turkey,annual,growth_same,CPALTT01TRA659N
Consumer Price Index for Turkey,turkey,monthly,growth_previous,CPALTT01TRM657N
Consumer Price Index for Turkey,turkey,monthly,growth_same,CPALTT01TRM659N
Consumer Price Index for Turkey,turkey,quarterly,growth_previous,CPALTT01TRQ657N
Consumer Price Index for Turkey,turkey,quarterly,growth_same,CPALTT01TRQ659N
