Ticker,Description,Exchange,Category
ASN=F,MSCI EM Asia NTR Index ,NYB,Stock Indicies
LFM=F,MSCI EM ESG Leaders NTR Index,NYB,Stock Indicies
MML=F,MSCI EM Latin Amer NTR Index,NYB,Stock Indicies
MME=F,MSCI Emerging Markets Index ,NYB,Stock Indicies
MIN=F,MSCI India NTR Index ,NYB,Stock Indicies
USS=F,MSCI USA GTR Index,NYB,Stock Indicies
MWL=F,MSCI World Index  - ICUS,NYB,Stock Indicies
MWS=F,MSCI World NTR Index,NYB,Stock Indicies
VLQ=F,Nasdaq-100 Volatility Index ,CME,Stock Indicies
SDA=F,S&P 500 Annual Dividend Index,CME,Stock Indicies
SED=F,SED (SOFR-Eurodollar) Spread,CME,Stock Indicies
