title,country,frequency,units,series_id
Harmonised CPI for Norway,norway,monthly,growth_same,CPHPTT01NOM659N
Harmonised CPI for Poland,poland,monthly,index_2015,CP0000PLM086NEST
Harmonised CPI for Poland,poland,annual,growth_previous,CPHPTT01PLA657N
Harmonised CPI for Poland,poland,annual,growth_same,CPHPTT01PLA659N
Harmonised CPI for Poland,poland,monthly,growth_previous,CPHPTT01PLM657N
Harmonised CPI for Poland,poland,monthly,growth_same,CPHPTT01PLM659N
Harmonised CPI for Portugal,portugal,monthly,index_2015,CP0000PTM086NEST
Harmonised CPI for Portugal,portugal,annual,growth_previous,CPHPTT01PTA657N
Harmonised CPI for Portugal,portugal,annual,growth_same,CPHPTT01PTA659N
Harmonised CPI for Portugal,portugal,monthly,growth_previous,CPHPTT01PTM657N
Harmonised CPI for Portugal,portugal,monthly,growth_same,CPHPTT01PTM659N
Harmonised CPI for Romania,romania,monthly,index_2015,CP0000ROM086NEST
Harmonised CPI for the Slovak Republic,slovak_republic,annual,growth_previous,CPHPTT01SKA657N
Harmonised CPI for the Slovak Republic,slovak_republic,annual,growth_same,CPHPTT01SKA659N
Harmonised CPI for the Slovak Republic,slovak_republic,monthly,growth_previous,CPHPTT01SKM657N
Harmonised CPI for the Slovak Republic,slovak_republic,monthly,growth_same,CPHPTT01SKM659N
Harmonised CPI for Slovakia,slovakia,monthly,index_2015,CP0000SKM086NEST
Harmonised CPI for Slovenia,slovenia,monthly,index_2015,CP0000SIM086NEST
Harmonised CPI for Slovenia,slovenia,annual,growth_previous,CPHPTT01SIA657N
Harmonised CPI for Slovenia,slovenia,annual,growth_same,CPHPTT01SIA659N
Harmonised CPI for Slovenia,slovenia,monthly,growth_previous,CPHPTT01SIM657N
Harmonised CPI for Slovenia,slovenia,monthly,growth_same,CPHPTT01SIM659N
Harmonised CPI for Spain,spain,annual,growth_previous,CPHPTT01ESA657N
Harmonised CPI for Spain,spain,annual,growth_same,CPHPTT01ESA659N
Harmonised CPI for Spain,spain,monthly,growth_previous,CPHPTT01ESM657N
Harmonised CPI for Spain,spain,monthly,growth_same,CPHPTT01ESM659N
Harmonised CPI for Spain,spain,monthly,index_2015,CP0000ESM086NEST
Harmonised CPI for Sweden,sweden,monthly,index_2015,CP0000SEM086NEST
Harmonised CPI for Sweden,sweden,annual,growth_previous,CPHPTT01SEA657N
Harmonised CPI for Sweden,sweden,annual,growth_same,CPHPTT01SEA659N
Harmonised CPI for Sweden,sweden,monthly,growth_previous,CPHPTT01SEM657N
Harmonised CPI for Sweden,sweden,monthly,growth_same,CPHPTT01SEM659N
Harmonised CPI for Switzerland,switzerland,annual,growth_previous,CPHPTT01CHA657N
Harmonised CPI for Switzerland,switzerland,annual,growth_same,CPHPTT01CHA659N
Harmonised CPI for Switzerland,switzerland,monthly,growth_previous,CPHPTT01CHM657N
Harmonised CPI for Switzerland,switzerland,monthly,growth_same,CPHPTT01CHM659N
Harmonised CPI for Switzerland,switzerland,monthly,index_2015,CP0000CHM086NEST
Harmonised CPI for Turkey,turkey,monthly,index_2015,CP0000TRM086NEST
Harmonised CPI for Turkey,turkey,annual,growth_previous,CPHPTT01TRA657N
Harmonised CPI for Turkey,turkey,annual,growth_same,CPHPTT01TRA659N
Harmonised CPI for Turkey,turkey,monthly,growth_previous,CPHPTT01TRM657N
Harmonised CPI for Turkey,turkey,monthly,growth_same,CPHPTT01TRM659N
Harmonised CPI for the United Kingdom,united_kingdom,annual,growth_same,CPHPTT01GBA659N
Harmonised CPI for the United Kingdom,united_kingdom,monthly,growth_same,CPHPTT01GBM659N
Harmonised CPI for United States,united_states,monthly,index_2015,CP0000USM086NEST
Harmonised CPI for the United States,united_states,annual,growth_previous,CPHPTT01USA657N
Harmonised CPI for the United States,united_states,annual,growth_same,CPHPTT01USA659N
Harmonised CPI for the United States,united_states,monthly,growth_previous,CPHPTT01USM657N
Harmonised CPI for the United States,united_states,monthly,growth_same,CPHPTT01USM659N
