Maturity,Category,Title,Description,FRED Series ID
6y,spot_rate,6-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 6-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 6 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB6YR
6.5y,spot_rate,6.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 6.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 6.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB6Y6M
7y,spot_rate,7-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 7-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 7 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB7YR
7.5y,spot_rate,7.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 7.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 7.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB7Y6M
8y,spot_rate,8-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 8-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 8 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB8YR
8.5y,spot_rate,8.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 8.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 8.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB8Y6M
9y,spot_rate,9-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 9-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 9 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB9YR
9.5y,spot_rate,9.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 9.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 9.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB9Y6M
10y,par_yield,10-Year High Quality Market (HQM) Corporate Bond Par Yield,The par yield for 10-Year High Quality Market (HQM) Corporate Bond Par Yield is the coupon rate at which bond prices are zero.,HQMCB10YRP
10y,spot_rate,10-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 10-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 10 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB10YR
10.5y,spot_rate,10.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 10.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 10.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB10Y6M
11y,spot_rate,11-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 11-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 11 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB11YR
11.5y,spot_rate,11.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 11.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 11.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB11Y6M
12y,spot_rate,12-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 12-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 12 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB12YR
12.5y,spot_rate,12.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 12.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 12.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB12Y6M
13y,spot_rate,13-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 13-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 13 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB13YR
13.5y,spot_rate,13.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 13.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 13.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB13Y6M
14y,spot_rate,14-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 14-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 14 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB14YR
14.5y,spot_rate,14.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 14.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 14.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB14Y6M
15y,spot_rate,15-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 15-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 15 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB15YR
15.5y,spot_rate,15.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 15.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 15.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB15Y6M
16y,spot_rate,16-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 16-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 16 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB16YR
16.5y,spot_rate,16.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 16.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 16.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB16Y6M
17y,spot_rate,17-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 17-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 17 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB17YR
17.5y,spot_rate,17.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 17.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 17.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB17Y6M
18y,spot_rate,18-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 18-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 18 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB18YR
18.5y,spot_rate,18.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 18.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 18.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB18Y6M
19y,spot_rate,19-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 19-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 19 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB19YR
19.5y,spot_rate,19.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 19.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 19.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB19Y6M
20y,spot_rate,20-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 20-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 20 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB20YR
20.5y,spot_rate,20.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 20.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 20.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB20Y6M
21y,spot_rate,21-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 21-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 21 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB21YR
21.5y,spot_rate,21.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 21.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 21.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB21Y6M
22y,spot_rate,22-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 22-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 22 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB22YR
22.5y,spot_rate,22.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 22.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 22.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB22Y6M
23y,spot_rate,23-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 23-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 23 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB23YR
23.5y,spot_rate,23.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 23.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 23.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB23Y6M
24y,spot_rate,24-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 24-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 24 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB24YR
24.5y,spot_rate,24.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 24.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 24.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB24Y6M
25y,spot_rate,25-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 25-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 25 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB25YR
25.5y,spot_rate,25.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 25.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 25.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB25Y6M
26y,spot_rate,26-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 26-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 26 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB26YR
26.5y,spot_rate,26.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 26.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 26.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB26Y6M
27y,spot_rate,27-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 27-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 27 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB27YR
27.5y,spot_rate,27.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 27.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 27.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB27Y6M
28y,spot_rate,28-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 28-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 28 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB28YR
28.5y,spot_rate,28.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 28.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 28.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB28Y6M
29y,spot_rate,29-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 29-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 29 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB29YR
29.5y,spot_rate,29.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 29.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 29.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB29Y6M
